setting_group,model,condition,n,sr,prompt_tok,completion_tok,total_tok
compact_visible,gpt-4o,base,48,0.6666666666666666,225.66666666666666,151.27083333333334,376.9375
compact_visible,gpt-4o,wy,48,0.6458333333333334,268.4166666666667,135.16666666666666,403.5833333333333
compact_visible,gpt-4o,zh,48,0.6875,252.125,164.64583333333334,416.7708333333333
compact_visible,gpt-5.4,base,48,0.5833333333333334,224.66666666666666,12.354166666666666,237.02083333333334
compact_visible,gpt-5.4,wy,48,0.8333333333333334,267.4166666666667,114.5,381.9166666666667
compact_visible,gpt-5.4,zh,48,0.5625,251.125,16.895833333333332,268.0208333333333
compact_visible,qwen3-4b,base,48,0.7083333333333334,235.54166666666666,842.6041666666666,1078.1458333333333
compact_visible,qwen3-4b,wy,48,0.4791666666666667,254.08333333333334,824.7083333333334,1078.7916666666667
compact_visible,qwen3-4b,zh,48,0.6666666666666666,236.0,713.25,949.25
explicit_process,gpt-4o,base,48,0.6875,205.66666666666666,488.2083333333333,693.875
explicit_process,gpt-4o,wy,48,0.7083333333333334,241.58333333333334,342.7708333333333,584.3541666666666
explicit_process,gpt-4o,zh,48,0.6875,232.52083333333334,543.5416666666666,776.0625
explicit_process,gpt-5.4,base,48,0.6458333333333334,204.66666666666666,180.89583333333334,385.5625
explicit_process,gpt-5.4,wy,48,0.8333333333333334,240.58333333333334,337.8333333333333,578.4166666666666
explicit_process,gpt-5.4,zh,48,0.6666666666666666,231.52083333333334,206.10416666666666,437.625
explicit_process,qwen3-4b,base,48,0.5833333333333334,215.54166666666666,1180.7083333333333,1396.25
explicit_process,qwen3-4b,wy,48,0.3958333333333333,232.0625,1014.4791666666666,1246.5416666666667
explicit_process,qwen3-4b,zh,48,0.6458333333333334,216.89583333333334,1149.1875,1366.0833333333333
hidden,gpt-4o,base,48,0.5625,207.16666666666666,8.375,215.54166666666666
hidden,gpt-4o,wy,48,0.4375,240.375,21.833333333333332,262.2083333333333
hidden,gpt-4o,zh,48,0.4791666666666667,229.29166666666666,8.4375,237.72916666666666
hidden,gpt-5.4,base,48,0.625,206.16666666666666,11.020833333333334,217.1875
hidden,gpt-5.4,wy,48,0.6041666666666666,239.375,11.291666666666666,250.66666666666666
hidden,gpt-5.4,zh,48,0.6041666666666666,228.29166666666666,18.604166666666668,246.89583333333334
hidden,qwen3-4b,base,48,0.6666666666666666,217.04166666666666,1017.1458333333334,1234.1875
hidden,qwen3-4b,wy,48,0.4375,229.375,899.0833333333334,1128.4583333333333
hidden,qwen3-4b,zh,48,0.6458333333333334,214.20833333333334,1002.8333333333334,1217.0416666666667
